model,persona,spearman_relatedness,p_relatedness,spearman_generality,p_generality,n_pairs
claude,course_taker,0.2631500905406529,0.030148796714513895,0.3339836571969985,0.0053784467511709625,68
claude,expert,0.5662863568166961,1.880462957298711e-85,0.1755683464003601,2.4830834257128573e-08,995
claude,novice,0.12695213466963753,0.46062148694967076,0.16822421253462935,0.32672279394071435,36
claude,phd,0.5658910761135025,2.115280870359766e-96,0.11479767868238087,0.00011230112721398472,1127
gemini,course_taker,0.30808982358172876,0.010589127571161943,0.09371841527172343,0.4471534662902369,68
gemini,expert,0.5668221239518352,1.2052374721103344e-85,0.14955161496875116,2.156891181599073e-06,995
gemini,novice,0.11099004493769617,0.5192941233968824,-0.009205721474396607,0.9575039847422555,36
gemini,phd,0.5650317481369764,4.731803088796917e-96,0.09178919836958609,0.0020387216787418404,1127
gpt-4o,course_taker,0.08953481879174792,0.46778063618580834,0.13663361008922356,0.2665507953924204,68
gpt-4o,expert,0.5248924561333349,1.5403080381650847e-71,0.13142463778660282,3.204181367771743e-05,995
gpt-4o,novice,0.09329438214934001,0.5883739507424439,0.28364388206046887,0.09365386128874072,36
gpt-4o,phd,0.5216024270502974,1.2123211871904429e-79,0.1218808866765214,4.0887988380193726e-05,1127
mistral,course_taker,0.0378351344346541,0.7593596073583915,0.09817089221856089,0.4257671782887983,68
mistral,expert,0.5184370054342794,1.542584240702531e-69,0.06929582707357203,0.028835988930979054,995
mistral,novice,-0.20399818761808677,0.23271597564316984,0.12322579855396518,0.47399287635556653,36
mistral,phd,0.5276122508012965,8.98097410186959e-82,0.18160810955741646,8.195037984531856e-10,1127
