persona,model,rel_diff,gen_diff
course_taker,claude,0.27941176470588236,0.4264705882352941
course_taker,gemini,0.39705882352941174,0.6029411764705882
course_taker,gpt-4o,-0.2647058823529412,0.25
course_taker,mistral,0.14705882352941177,-0.3235294117647059
expert,claude,0.4984924623115578,0.13969849246231156
expert,gemini,0.42512562814070354,0.4221105527638191
expert,gpt-4o,-0.20301507537688443,-0.044221105527638194
expert,mistral,0.2492462311557789,-0.3035175879396985
novice,claude,0.5555555555555556,0.8055555555555556
novice,gemini,0.5,1.1388888888888888
novice,gpt-4o,0.0,0.5
novice,mistral,0.2777777777777778,0.3611111111111111
phd,claude,0.43478260869565216,0.12688553682342502
phd,gemini,0.40372670807453415,0.45785270629991126
phd,gpt-4o,-0.14906832298136646,-0.03992901508429459
phd,mistral,0.001774622892635315,-0.26441881100266196
